"Outcome","FeatureID","n","beta_SD","conf.low","conf.high","p","singular_fit","model_used","p_fdr_outcome","p_fdr_global"
"fat_mass_perc","Adlercreutzia_equolifaciens",18,-0.0521882692015097,-0.40856158146919,0.30418504306617,0.780638358664213,FALSE,"LMM",0.780638358664213,0.982486757880935
"fat_mass_perc","Clostridium_SGB6179",18,0.173235942510703,-0.154245714853361,0.500717599874766,0.329187804437202,FALSE,"LMM",0.780638358664213,0.982486757880935
"fat_mass_perc","Flavonifractor_plautii",18,0.0492886379148074,-0.278704880238087,0.377282156067702,0.775060340353729,FALSE,"LMM",0.780638358664213,0.982486757880935
"fat_mass_index_kgm2","Adlercreutzia_equolifaciens",18,-0.00569321383965141,-0.503192292664618,0.491805864985316,0.982486757880935,FALSE,"LMM",0.982486757880935,0.982486757880935
"fat_mass_index_kgm2","Clostridium_SGB6179",18,0.11737376138051,-0.369933011532411,0.604680534293431,0.645825088807363,FALSE,"LMM",0.968737633211045,0.982486757880935
"fat_mass_index_kgm2","Flavonifractor_plautii",18,-0.140650470574215,-0.589703369283664,0.308402428135235,0.551134678904466,FALSE,"LMM",0.968737633211045,0.982486757880935
"lean_mass_perc","Adlercreutzia_equolifaciens",18,-0.0232259793299753,-0.532582646935656,0.486130688275705,0.930252690606243,FALSE,"LMM",0.930252690606243,0.982486757880935
"lean_mass_perc","Clostridium_SGB6179",18,-0.0330121870458109,-0.540349453526222,0.4743250794346,0.900697564770999,FALSE,"LMM",0.930252690606243,0.982486757880935
"lean_mass_perc","Flavonifractor_plautii",18,0.0869529041695816,-0.377098172456725,0.551003980795888,0.719881337679503,FALSE,"LMM",0.930252690606243,0.982486757880935
"total_body_water_perc","Adlercreutzia_equolifaciens",18,0.524035785987952,0.077237816348603,0.9708337556273,0.0478034726316221,FALSE,"LMM",0.0717052089474332,0.286820835789733
"total_body_water_perc","Clostridium_SGB6179",18,0.194450374583949,-0.359054715570583,0.747955464738481,0.501674496536958,FALSE,"LMM",0.501674496536958,0.982486757880935
"total_body_water_perc","Flavonifractor_plautii",18,-0.810390367341831,-1.04882659038109,-0.571954144302571,7.05131365014625e-05,FALSE,"LMM",0.000211539409504387,0.00084615763801755
